epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,268.359,0.65351,0.48188,0.99045,0.99597,0.66667,0.66333,0.6094,0.47137,0.33113,0.94207,0.00130309,0.00130309,0.00130309
91,271.445,0.66058,0.51103,1.02448,0.99593,0.66667,0.66333,0.60257,0.49937,0.34649,0.9507,0.00130168,0.00130168,0.00130168
92,274.555,0.66691,0.48527,1.02449,0.99579,0.66667,0.66333,0.60392,0.50526,0.36151,0.9563,0.00130026,0.00130026,0.00130026
93,277.607,0.66994,0.49763,1.00885,0.9936,0.66667,0.66333,0.6047,0.50925,0.34383,0.96593,0.00129885,0.00129885,0.00129885
94,280.742,0.66428,0.49219,1.02045,0.99638,0.66667,0.66333,0.59307,0.51421,0.34298,0.96254,0.00129743,0.00129743,0.00129743
95,283.729,0.6264,0.47629,0.9994,0.99609,0.66667,0.66333,0.60063,0.49803,0.33885,0.9629,0.00129602,0.00129602,0.00129602
96,286.841,0.62781,0.43951,1.01136,0.99529,0.66667,0.66333,0.59549,0.51475,0.46108,0.95775,0.0012946,0.0012946,0.0012946
97,289.822,0.62798,0.49691,0.99725,0.99653,0.66667,0.66333,0.54403,0.81181,0.41886,1.12541,0.00129319,0.00129319,0.00129319
98,292.828,0.63219,0.46867,0.98326,0.99437,0.66667,0.66333,0.55516,0.7657,0.37969,1.11104,0.00129177,0.00129177,0.00129177
99,295.831,0.6872,0.52823,1.02623,0.99537,0.66667,0.66333,0.59626,0.52379,0.33946,0.98601,0.00129036,0.00129036,0.00129036
100,299.176,0.66861,0.47916,1.02655,0.99293,0.66667,0.66333,0.60394,0.53874,0.378,0.99292,0.00128894,0.00128894,0.00128894
101,302.284,0.71497,0.5171,1.04262,0.99119,0.66667,0.66333,0.60246,0.51317,0.40866,0.97218,0.00128753,0.00128753,0.00128753
102,305.303,0.66244,0.48483,1.00356,0.99492,0.66667,0.66333,0.58552,0.48681,0.46698,0.95398,0.00128611,0.00128611,0.00128611
103,308.264,0.67647,0.49204,1.00259,0.99181,0.66667,0.66333,0.58858,0.51458,0.50865,0.96157,0.0012847,0.0012847,0.0012847
104,311.332,0.72411,0.53877,1.04504,0.99164,0.66667,0.66333,0.60087,0.52652,0.44592,0.96698,0.00128328,0.00128328,0.00128328
105,314.584,0.67155,0.52028,1.01496,0.98467,0.66667,0.66333,0.58549,0.60515,0.47473,1.0232,0.00128187,0.00128187,0.00128187
106,317.917,0.70643,0.50046,1.01331,0.99565,0.66667,0.66333,0.57781,0.58801,0.34864,1.02103,0.00128046,0.00128046,0.00128046
107,321.281,0.67523,0.48465,1.01099,0.99584,0.66667,0.66333,0.58523,0.56983,0.31879,0.99739,0.00127904,0.00127904,0.00127904
108,324.512,0.70273,0.5015,1.02072,0.9947,0.66667,0.66333,0.61198,0.45936,0.27923,0.94132,0.00127763,0.00127763,0.00127763
109,327.566,0.71514,0.52209,1.02933,0.99367,0.66667,0.66333,0.58811,0.54183,0.33303,0.98632,0.00127621,0.00127621,0.00127621
110,330.681,0.69003,0.47044,1.02029,0.99514,0.66667,0.66333,0.59569,0.5134,0.4293,0.9564,0.0012748,0.0012748,0.0012748
